,GEOID10,excelCountyName,excelVTDId
1191,37067703,Forsyth,703
1192,37067507,Forsyth,507
1193,37067403,Forsyth,403
1194,37067505,Forsyth,505
1195,37067302,Forsyth,302
1196,37067704,Forsyth,704
1197,37067063,Forsyth,063
1198,37067604,Forsyth,604
1199,37067305,Forsyth,305
1200,3715114,Randolph,14
1201,3715117,Randolph,17
1202,3715121,Randolph,21
1203,3715122,Randolph,22
1204,3715102,Randolph,02
1205,3715107,Randolph,07
1206,3715105,Randolph,05
1207,3715108,Randolph,08
1208,3715124,Randolph,24
1209,3715120,Randolph,20
1210,3715106,Randolph,06
1211,3715134,Randolph,34
1212,3715140,Randolph,40
1213,3715118,Randolph,18
1214,3715109,Randolph,09
1215,3715116,Randolph,16
1216,3715110,Randolph,10
1217,3715137,Randolph,37
1218,3715133,Randolph,33
1219,3715132,Randolph,32
1220,3715112,Randolph,12
1221,3715111,Randolph,11
1222,3715125,Randolph,25
1223,3715131,Randolph,31
1224,3715136,Randolph,36
1225,3715126,Randolph,26
1226,3715113,Randolph,13
1227,3715139,Randolph,39
1228,3715101,Randolph,01
1229,3715135,Randolph,35
1230,3715103,Randolph,03
1231,3715115,Randolph,15
1232,3715127,Randolph,27
1233,3715119,Randolph,19
1234,3715104,Randolph,04
1235,3715128,Randolph,28
1236,3715123,Randolph,23
1237,3715129,Randolph,29
1238,3715130,Randolph,30
1239,3715138,Randolph,38
1240,37107SH,Lenoir,SH
1241,37107SW,Lenoir,SW
1242,37107N,Lenoir,N
1243,37107K2,Lenoir,K2
1244,37107I,Lenoir,I
1245,37107T1,Lenoir,T1
1246,37107FC,Lenoir,FC
1247,37107MH,Lenoir,MH
1248,37107K7,Lenoir,K7
1249,37107K9,Lenoir,K9
1250,37107K1,Lenoir,K1
1251,37107K6,Lenoir,K6
1252,37107K4,Lenoir,K4
1253,37027PR07,Caldwell,PR07
1254,37027PR19,Caldwell,PR19
1255,37027PR02,Caldwell,PR02
1256,37027PR08,Caldwell,PR08
1257,37027PR17,Caldwell,PR17
1258,37107K8,Lenoir,K8
1259,37107K3,Lenoir,K3
1260,37107V,Lenoir,V
1261,37107C,Lenoir,C
1262,37107T2,Lenoir,T2
1263,37107W,Lenoir,W
1264,37027PR27,Caldwell,PR27
1265,37027PR18,Caldwell,PR18
1266,37027PR21,Caldwell,PR21
1267,37027PR12,Caldwell,PR12
1268,37027PR16,Caldwell,PR16
1269,37027PR24,Caldwell,PR24
1270,37027PR29,Caldwell,PR29
1271,37027PR25,Caldwell,PR25
1272,37027PR22,Caldwell,PR22
1273,37027PR06,Caldwell,PR06
1274,37027PR13,Caldwell,PR13
1275,37027PR15,Caldwell,PR15
1276,37027PR01,Caldwell,PR01
1277,37027PR05,Caldwell,PR05
1278,3706912,Franklin,12
1279,3706911,Franklin,11
1280,3706909,Franklin,09
1281,37107K5,Lenoir,K5
1282,37107PH2,Lenoir,PH2
1283,37107PH1,Lenoir,PH1
1284,37027PR28,Caldwell,PR28
1285,37027PR23,Caldwell,PR23
1286,37027PR09,Caldwell,PR09
1287,37027PR14,Caldwell,PR14
1288,3706919,Franklin,19
1289,3706903,Franklin,03
1290,3706915,Franklin,15
1291,3706902,Franklin,02
1292,3706906,Franklin,06
1293,3706901,Franklin,01
1294,3706914,Franklin,14
1295,3706907,Franklin,07
1296,3706908,Franklin,08
1297,3706913,Franklin,13
1298,3706910,Franklin,10
1299,3706918,Franklin,18
1300,3706916,Franklin,16
1301,3706905,Franklin,05
1302,3706917,Franklin,17
1303,3719904-RAM,Yancey,04-RAM
1304,3719909-SOU,Yancey,09-SOU
