,low,high,length
156,371891313,371890606,259.54442477642834
157,371891717,371892020,7167.39417990806
158,371891717,371891919,31245.965501442795
159,371891717,371891010,16730.06132707442
160,371891717,370110202,12730.230823630738
161,371890909,371891515,7350.943629987428
162,371890909,371891818,39877.91068206449
163,371890909,37193113113,1952.1709965470538
164,371890909,37193109109,10847.836987840521
165,371891212,371890505,3485.1043498064278
166,371891212,371890707,1936.019892623956
167,371891212,371890606,6579.411932065043
168,371890505,371891515,477.49733271361833
169,371890505,371891414,2381.3700694405793
170,371890505,371890707,8349.358099340756
171,371890505,371890606,6222.993663326059
172,371891515,371891414,26484.5854217472
173,371891515,371891818,4081.4158638841122
174,371891515,371890606,1933.1275800731996
175,371892020,371891010,18507.597963209555
176,371892020,370110303,180.1168521426212
177,371892020,370110202,23418.62366284667
178,371891919,371890707,24021.11466617723
179,371891919,371891010,15329.559964012067
180,371891919,370110202,3524.5093666174394
181,371891919,370111111,1355.3326799368622
182,371891919,37027PR07PR07,11530.637238102707
183,371891414,371890707,21060.115705892193
184,371891414,371891818,6673.621416034706
185,371891414,371891111,49516.66070008658
186,371891414,371890101,757.4355513244369
187,371891414,371890808,126.0518444735506
188,371890707,371891010,3779.263877782172
189,371890707,371890808,22144.485326844824
190,371891818,371890101,9979.457389823128
191,371891818,37193110110,8766.898821820483
192,371891818,37193113113,14290.875064155673
193,371891818,370090404,5182.356886244796
194,371891818,370091616,27521.542609258748
195,371891010,371890808,10170.92922468848
196,371891010,371890202,35264.569365300944
197,371891010,370110303,14264.776314744247
198,371891111,371890101,22641.20874185267
199,371891111,371890808,21172.76935691522
200,371891111,371891616,20509.348806360802
201,371890101,371891616,8465.925465813729
202,371890101,370090404,23265.674187430537
203,371890101,370090303,2810.8310336198947
204,371890808,371890202,18527.434671751587
205,371890808,371891616,398.9227328545288
206,371890202,370110303,9556.003183340568
207,371891616,370091212,28395.827387468908
208,371891616,370090303,5371.523658791413
209,370111212,370110505,13122.520090444177
210,370111212,370110909,3414.9093348509
211,370111212,370111919,4530.230198863625
212,370111212,370111414,7558.479179192358
213,370111212,370111515,4794.182305918827
214,370111212,370110707,10768.410582509108
215,370110101,370110909,6812.223068115865
216,370110101,370111818,21882.667721257098
217,370110101,370111010,12213.812041688307
218,370110101,370111616,15729.862800108504
219,370110101,370111515,3249.492559614584
220,370110101,37111N.COVEN.COVE,5096.040064001254
221,370110101,3702300180018,16228.842269122299
222,370110303,370110202,17397.980249050797
223,370110303,370110606,8879.287914781378
224,370110303,370110808,7000.684705464608
225,370110202,370110505,5604.241605424811
226,370110202,370110808,13941.744034568015
227,370110202,370111414,6434.606339933728
228,370110202,370111313,16619.00721632765
229,370110202,370111111,21521.750060868282
230,37033PELHPELH,37033LOCULOCU,58476.83170589515
231,37033PELHPELH,37033PROVIPROVI,33313.46680024347
232,37033PELHPELH,37033YAN2YAN2,0.0
233,37033PELHPELH,37033MILTMILT,28382.461752555133
234,37033PELHPELH,37157LILI,9148.455343978045
235,37033LOCULOCU,37033PROVIPROVI,0.0
236,37033LOCULOCU,37033STONSTON,50244.19224921858
237,37033LOCULOCU,37033YAN2YAN2,14519.257818201762
238,37033LOCULOCU,37033YAN4YAN4,6355.185844717042
239,37033LOCULOCU,37157WMWM,2532.437820546565
240,37033LOCULOCU,37157LILI,3283.6035624020296
241,37033LOCULOCU,37157RD-1RD-1,538.7937227632636
242,37033PROVIPROVI,37033YAN2YAN2,27022.18808266841
243,37033PROVIPROVI,37033MILTMILT,18307.897903344758
244,37033STONSTON,37033YAN4YAN4,1536.8052507773275
245,37033STONSTON,37033ANDEANDE,2517.1401257017446
246,37033STONSTON,370010404,32627.531418803595
247,37033STONSTON,370010505,17718.20509050308
248,37033STONSTON,37157WMWM,7837.756101367814
249,37033YAN2YAN2,37033YAN4YAN4,46041.49245495117
250,37033YAN2YAN2,37033MILTMILT,23635.02202994359
251,37033YAN2YAN2,37033LEASLEAS,8339.120809664602
252,37033YAN2YAN2,37033HIGHHIGH,24728.89148657905
253,37033YAN2YAN2,37033ANDEANDE,13595.878577842164
254,370110505,370110606,22059.837324380438
255,370110505,370110808,16650.92650090843
256,370110505,370111414,25784.841125775998
257,370110909,370111818,7759.414024875958
258,370110909,370111717,7334.268049736954
259,370110909,370111515,21221.527432059393
260,370110909,370110707,4708.454846670005
261,370111818,370111010,11195.990460571182
262,370111818,370111717,7746.564054904657
263,370111919,370111717,20305.315938720698
264,370111919,370110707,9232.25788374417
265,370111919,371210606,7908.245472554074
266,370111919,371210303,2361.896378293035
267,370111010,370111717,27232.459096197497
268,370111010,37111N.COVEN.COVE,16056.764596014767
269,370111010,371210404,28627.384530326548
270,370111010,371210303,8.233337088084456
271,370110404,370111616,20740.809705445216
272,370110404,370111111,32605.12226748037
273,370110404,37027PR07PR07,43035.726248069885
274,370110404,3702300180018,23050.601681428347
275,370111717,370110707,5764.114179779309
276,370111717,371210303,17230.024210615953
277,37033YAN4YAN4,37033ANDEANDE,26082.629540432616
278,37033MILTMILT,37033LEASLEAS,40748.627072093
279,37033MILTMILT,37145CUCLCUCL,6790.051012526704
280,37033LEASLEAS,37033HIGHHIGH,41413.87762732495
281,37033LEASLEAS,37033PROSPROS,13130.547804357187
282,37033LEASLEAS,37145CUCLCUCL,23.01640581028144
283,37033LEASLEAS,37145OLHIOLHI,6757.292582176474
284,37033HIGHHIGH,37033PROSPROS,40864.914957460445
285,37033HIGHHIGH,37033ANDEANDE,45368.353477512144
286,37033PROSPROS,37033ANDEANDE,1798.4974702297118
287,37033PROSPROS,370011111,2862.156911195975
288,37033PROSPROS,37135CACA,24416.766872244447
289,37033PROSPROS,37135CGCG,13264.893977965037
290,37033PROSPROS,37145BFRKBFRK,7532.878508080401
