Unnamed: 0_level_0,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity
VTD,Total,Male,Male %,Female,Female %,Undes.,Undes.,Total,18-25,18-25 %,26-40,26-40 %,41-65,41-65 %,66+,66+ %,Total,Hispanic,Hisp %,Non-Hisp,Non H %,Undesign.,Undes. %
05,585,286,0.488888888889,296,0.505982905983,3,0.00512820512821,585,49,0.0837606837607,105,0.179487179487,289,0.494017094017,142,0.242735042735,585,26,0.0444444444444,506,0.864957264957,53,0.0905982905983
06,568,279,0.491197183099,286,0.503521126761,3,0.00528169014085,568,54,0.0950704225352,113,0.198943661972,281,0.494718309859,120,0.211267605634,568,1,0.00176056338028,503,0.885563380282,64,0.112676056338
07,573,277,0.483420593368,295,0.514834205934,1,0.00174520069808,573,45,0.0785340314136,94,0.16404886562,273,0.476439790576,161,0.280977312391,573,3,0.00523560209424,499,0.870855148342,71,0.123909249564
ANS,1112,507,0.455935251799,581,0.522482014388,24,0.0215827338129,1112,95,0.0854316546763,258,0.232014388489,522,0.469424460432,237,0.213129496403,1112,2,0.00179856115108,980,0.881294964029,130,0.11690647482
BURN,1246,600,0.481540930979,623,0.5,23,0.0184590690209,1246,105,0.0842696629213,293,0.235152487961,583,0.467897271268,265,0.212680577849,1246,1,0.000802568218299,1087,0.872391653291,158,0.126805778491
GULL,1112,486,0.437050359712,600,0.539568345324,26,0.023381294964,1112,129,0.116007194245,243,0.218525179856,544,0.489208633094,196,0.176258992806,1112,1,0.00089928057554,977,0.878597122302,134,0.120503597122
LILE,2381,1089,0.457370852583,1248,0.52414951701,44,0.0184796304074,2381,251,0.105417891642,516,0.216715665687,1135,0.476690466191,479,0.20117597648,2381,2,0.000839983200336,2068,0.868542629147,311,0.130617387652
MM,1325,559,0.421886792453,732,0.552452830189,34,0.0256603773585,1325,173,0.130566037736,288,0.217358490566,622,0.469433962264,242,0.182641509434,1325,3,0.0022641509434,1080,0.815094339623,242,0.182641509434
PEAC,1281,606,0.473067915691,646,0.504293520687,29,0.0226385636222,1281,134,0.104605776737,272,0.212334113973,601,0.469164715066,274,0.213895394223,1281,0,0.0,1121,0.875097580016,160,0.124902419984
POLK,1041,423,0.406340057637,594,0.57060518732,24,0.0230547550432,1041,122,0.117195004803,267,0.256484149856,461,0.442843419789,191,0.183477425552,1041,0,0.0,879,0.844380403458,162,0.155619596542
W1,2521,1055,0.418484728282,1402,0.556128520428,64,0.0253867512892,2521,299,0.118603728679,628,0.249107497025,1108,0.439508131694,486,0.192780642602,2521,4,0.00158667195557,2123,0.84212614042,394,0.156287187624
