,STATEFP10,COUNTYFP10,VTDST10,GEOID10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,VTD
617,37,147,1508A,371471508A,P,1508A,Voting District 1508A,V1,G5240,S,1128801.0,20867.0,35.612327799999996,-77.36489940000001,371471508A1508A
618,37,147,1506,371471506,P,1506,Voting District 1506,V1,G5240,S,3596428.0,0.0,35.594032500000004,-77.37656590000002,3714715061506
619,37,147,1505A,371471505A,P,1505A,Voting District 1505A,V1,G5240,S,4384096.0,11467.0,35.5819775,-77.4066271,371471505A1505A
620,37,147,1510B,371471510B,P,1510B,Voting District 1510B,V1,G5240,S,2677055.0,14882.0,35.576162,-77.3376885,371471510B1510B
621,37,147,1402A,371471402A,P,1402A,Voting District 1402A,V1,G5240,S,11770606.0,0.0,35.533863700000005,-77.35948590000001,371471402A1402A
622,37,147,1510A,371471510A,P,1510A,Voting District 1510A,V1,G5240,S,3036394.0,0.0,35.580751899999996,-77.3519939,371471510A1510A
623,37,147,1301,371471301,P,1301,Voting District 1301,V1,G5240,S,81414028.0,0.0,35.426360700000004,-77.3076484,3714713011301
624,37,147,1102A,371471102A,P,1102A,Voting District 1102A,V1,G5240,S,11161129.0,106218.0,35.5754006,-77.3006311,371471102A1102A
625,37,147,1511A,371471511A,P,1511A,Voting District 1511A,V1,G5240,S,4676317.0,0.0,35.5637825,-77.3793957,371471511A1511A
626,37,147,1509,371471509,P,1509,Voting District 1509,V1,G5240,S,11535174.0,491039.0,35.5982217,-77.32524659999999,3714715091509
627,37,147,1101,371471101,P,1101,Voting District 1101,V1,G5240,S,62428443.0,675178.0,35.549221100000004,-77.1826808,3714711011101
628,37,147,0501,371470501,P,0501,Voting District 0501,V1,G5240,S,152042948.0,180349.0,35.7221092,-77.27684029999999,3714705010501
