VR Total,VR: All Dems,VR: All Reps,VR: All Libs,VR:All Unaf.,VR:White Dems,VR: Black Dems,VR: NA Dems,VR: Asian Dems,VR: Other Dems,VR: Mult Race Ds,VR: UnDes Ds,VR: White Reps,VR: Black Reps,VR: NA Reps,VR: Asian Reps,VR: Other Reps,VR: Mult Race Rs,VR: UnDes Rs,VR: White Libs,VR: Black Libs,VR: NA Libs,VR: Asian Libs,VR: Other Libs,VR: Mult Race Ls,VR: UnDes Ls,VR: White Unafil.,VR: Black Unafil.,VR: NA Unafil.,VR: Asian Unafil.,VR: Other Unafil.,VR: Mult Race Unafil.,VR: UnDes Unafil.,% D,Racial %s among D's White % of D,Racial %s among D's Black % of D,Racial %s among D's NA   % of D,Racial %s among D's Other % of D,Racial %s among D's % R,Racial %s among R's White %  of R,Racial %s among R's Black % of R,Racial %s among R's NA  %  of R,Racial %s among R's Other % of R,Racial %s among R's % U,Racial %s among U's White % of U,Racial %s among U's Black % of U,Racial %s among U's NA   % of U,Racial %s among U's Other % of U,Racial %s among U's % L,Racial %s among U's VR: White,Racial %s among U's VR: Black,Racial %s among U's VR:  NA,Racial %s among U's VR: Asian,Racial %s among U's VR: Other,Racial %s among U's VR: Mult. Race,Racial %s among U's VR: Undes.,Racial %s among U's % White,Racial %s among U's % Black,Racial %s among U's % NA,Racial %s among U's % Other,County,excelVTDId,excelCountyName,GEOID10
1321,409,614,1,297,399,0,0,0,3,0,7,602,0,1,0,2,0,9,1,0,0,0,0,0,0,287,1,0,0,3,0,6,0.309613928842,0.975550122249,0.0,0.0,0.0244498777506,0.464799394398,0.980456026059,0.0,0.00162866449511,0.0,0.224829674489,0.96632996633,0.003367003367,0.0,0.030303030303,0.000757002271007,1289,1,1,0,8,0,22,0.975775927328,0.000757002271007,0.000757002271007,0.0227100681302,Buncombe,31.1,Buncombe,3702131.1
1784,702,569,0,513,640,42,2,2,8,4,4,560,2,0,0,4,0,3,0,0,0,0,0,0,0,480,8,1,1,10,2,11,0.393497757848,0.911680911681,0.0598290598291,0.002849002849,0.025641025641,0.318946188341,0.984182776801,0.00351493848858,0.0,0.01230228471,0.287556053812,0.93567251462,0.0155945419103,0.00194931773879,0.046783625731,0.0,1680,52,3,3,22,6,18,0.941704035874,0.0291479820628,0.00168161434978,0.027466367713,Buncombe,32.1,Buncombe,3702132.1
1198,494,371,3,330,456,21,1,1,5,2,8,359,3,1,1,5,0,2,2,0,0,0,0,0,1,310,6,0,0,5,2,7,0.412353923205,0.923076923077,0.0425101214575,0.00202429149798,0.0323886639676,0.309682804674,0.967654986523,0.00808625336927,0.00269541778976,0.0215633423181,0.275459098497,0.939393939394,0.0181818181818,0.0,0.0424242424242,0.0025041736227,1127,30,2,2,15,4,18,0.940734557596,0.025041736227,0.0016694490818,0.0325542570952,Buncombe,33.2,Buncombe,3702133.2
1855,814,516,3,522,710,82,2,1,5,1,13,501,4,1,1,3,1,5,3,0,0,0,0,0,0,485,13,1,1,11,1,10,0.438814016173,0.872235872236,0.100737100737,0.002457002457,0.02457002457,0.278167115903,0.970930232558,0.0077519379845,0.00193798449612,0.0193798449612,0.281401617251,0.929118773946,0.0249042145594,0.00191570881226,0.044061302682,0.00161725067385,1699,99,4,3,19,3,28,0.91590296496,0.0533692722372,0.00215633423181,0.0285714285714,Buncombe,33.3,Buncombe,3702133.3
1215,600,288,1,326,567,15,1,2,4,0,11,284,0,1,0,0,0,3,1,0,0,0,0,0,0,311,0,0,2,6,1,6,0.493827160494,0.945,0.025,0.00166666666667,0.0283333333333,0.237037037037,0.986111111111,0.0,0.00347222222222,0.0104166666667,0.268312757202,0.953987730061,0.0,0.0,0.0460122699387,0.00082304526749,1163,15,2,4,10,1,20,0.957201646091,0.0123456790123,0.00164609053498,0.0288065843621,Buncombe,34.1,Buncombe,3702134.1
1717,856,443,4,414,682,151,1,2,4,3,13,432,5,0,0,3,0,3,4,0,0,0,0,0,0,386,17,0,1,3,0,7,0.498543972044,0.796728971963,0.176401869159,0.00116822429907,0.0257009345794,0.258008153757,0.975169300226,0.0112866817156,0.0,0.0135440180587,0.24111822947,0.932367149758,0.0410628019324,0.0,0.0265700483092,0.00232964472918,1504,173,1,3,10,3,23,0.875946418171,0.100757134537,0.000582411182295,0.0227140361095,Buncombe,35.1,Buncombe,3702135.1
1849,644,631,1,573,606,22,1,2,4,3,6,609,2,1,3,7,1,8,1,0,0,0,0,0,0,535,9,2,2,8,2,15,0.34829637642,0.94099378882,0.0341614906832,0.00155279503106,0.0232919254658,0.341265548945,0.965134706815,0.00316957210777,0.00158478605388,0.0301109350238,0.309897241752,0.933682373473,0.0157068062827,0.00349040139616,0.0471204188482,0.000540832882639,1751,33,4,7,19,6,29,0.946998377501,0.0178474851271,0.00216333153056,0.032990805841,Buncombe,36.1,Buncombe,3702136.1
1368,474,423,4,467,459,0,1,1,4,1,8,410,0,1,0,3,1,8,4,0,0,0,0,0,0,445,2,1,1,5,2,11,0.34649122807,0.96835443038,0.0,0.00210970464135,0.0295358649789,0.309210526316,0.96926713948,0.0,0.00236406619385,0.0,0.341374269006,0.952890792291,0.00428265524625,0.00214132762313,0.0406852248394,0.00292397660819,1318,2,3,2,12,4,27,0.963450292398,0.00146198830409,0.00219298245614,0.0328947368421,Buncombe,37.1,Buncombe,3702137.1
1497,493,572,5,427,473,4,2,0,6,4,4,555,0,1,0,6,2,8,4,0,0,0,1,0,0,404,0,2,1,5,4,11,0.329325317301,0.959432048682,0.00811359026369,0.00405679513185,0.0283975659229,0.38209752839,0.97027972028,0.0,0.00174825174825,0.027972027972,0.285237140949,0.946135831382,0.0,0.00468384074941,0.0491803278689,0.00334001336005,1436,4,5,1,18,10,23,0.959251837007,0.00267201068804,0.00334001336005,0.0347361389446,Buncombe,38.2,Buncombe,3702138.2
2904,986,1077,4,837,873,62,6,0,18,1,26,1050,1,1,3,7,3,12,3,0,0,0,0,0,1,777,14,1,2,16,7,20,0.339531680441,0.885395537525,0.0628803245436,0.00608519269777,0.0456389452333,0.370867768595,0.974930362117,0.000928505106778,0.000928505106778,0.0232126276695,0.288223140496,0.928315412186,0.0167264038232,0.00119474313023,0.0537634408602,0.00137741046832,2703,77,8,5,41,11,59,0.930785123967,0.0265151515152,0.00275482093664,0.0399449035813,Buncombe,38.3,Buncombe,3702138.3
