,low,high,length
253,37033YAN2,37033ANDE,13595.8785778
254,3701105,3701106,22059.8373244
255,3701105,3701108,16650.9265009
256,3701105,3701114,25784.8411258
257,3701109,3701118,7759.41402488
258,3701109,3701117,7334.26804974
259,3701109,3701115,21221.5274321
260,3701109,3701107,4708.45484667
261,3701118,3701110,11195.9904606
262,3701118,3701117,7746.5640549
263,3701119,3701117,20305.3159387
264,3701119,3701107,9232.25788374
265,3701119,3712106,7908.24547255
266,3701119,3712103,2361.89637829
267,3701110,3701117,27232.4590962
268,3701110,37111N.COVE,16056.764596
269,3701110,3712104,28627.3845303
270,3701110,3712103,8.23333708808
271,3701104,3701116,20740.8097054
272,3701104,3701111,32605.1222675
273,3701104,37027PR07,43035.7262481
274,3701104,370230018,23050.6016814
275,3701117,3701107,5764.11417978
276,3701117,3712103,17230.0242106
277,37033YAN4,37033ANDE,26082.6295404
278,37033MILT,37033LEAS,40748.6270721
279,37033MILT,37145CUCL,6790.05101253
280,37033LEAS,37033HIGH,41413.8776273
281,37033LEAS,37033PROS,13130.5478044
282,37033LEAS,37145CUCL,23.0164058103
283,37033LEAS,37145OLHI,6757.29258218
284,37033HIGH,37033PROS,40864.9149575
285,37033HIGH,37033ANDE,45368.3534775
286,37033PROS,37033ANDE,1798.49747023
287,37033PROS,3700111,2862.1569112
288,37033PROS,37135CA,24416.7668722
289,37033PROS,37135CG,13264.893978
290,37033PROS,37145BFRK,7532.87850808
291,37033PROS,37145OLHI,297.705528943
292,37033ANDE,3700111,36707.72416
293,37033ANDE,3700105,10515.5881594
294,37015WH,370413,10717.4932942
295,37015WH,370412,14162.4382354
296,37015WD,37015RX,40288.7841908
297,37015WD,37015IW,62979.7028721
298,37015WD,37083PAL,53458.8473916
299,37015WD,37117GN,47396.1768824
300,37015WD,37117HM,84910.6358574
301,37015RX,37083PAL,22275.7199777
302,37015RX,37131RICH-S,44665.8722093
303,37015RX,37091ML,33224.6684545
304,37015IW,37117HM,20111.6718226
305,3701106,3701108,6202.85125166
306,3701114,3701113,11276.0775091
307,3701114,3701115,21420.1150833
308,3701113,3701116,7726.59694401
309,3701113,3701115,7031.07203532
310,3701113,3701111,9831.234362
311,3701116,3701115,5893.25039997
312,3701116,3701111,10392.9222993
313,3701116,370230018,11715.0666405
314,3701111,37027PR07,11932.9467698
315,3709362,3709361,2249.39429945
316,3709362,3709365,8262.81376241
317,3709362,3709364,10900.1544947
318,3709301,3709302,30159.0752672
319,3709301,3709303,29035.2327239
320,3709301,3715527,9914.18753036
321,3709301,3715534,42871.1314317
322,3709301,371657,24903.4119813
323,3709302,3709313,31398.6673988
324,3709302,3709303,10575.1211835
325,3709302,3709361,4503.76470299
326,3709302,3709364,11582.512084
327,3709302,3715510,0.0
328,3709302,3715533,13314.9057978
329,3709302,3715527,13961.2910437
330,3709363,3709306,39652.9300989
331,3709363,3709305,19097.5711886
332,3709363,3709313,1624.87488432
333,3709363,3709361,9009.56261119
334,3709363,3709365,9902.61833581
335,3709363,3709364,8330.72277339
336,3709306,3709305,23485.1805504
337,3709306,3709313,26438.7144164
338,3709306,3709312,18611.226665
339,3709306,37125LTR,65338.7581406
340,3709306,37051CL57,6961.19878753
341,3709306,37051G11,25308.0165879
342,3709306,37051G5,5228.28644173
343,3709305,3709303,15965.7810925
344,3709305,3709364,29090.9825709
345,3709305,3709304,22233.3404516
346,3709305,37125LTR,39349.2065353
347,3709305,37125EAB,4637.8304124
348,3709305,37125PDN,15247.1676517
349,3709305,37125NSP,3421.47444553
350,3709313,3709312,34665.2051756
351,3709313,3709361,11608.7354754
352,3709313,3715521,11419.002435
353,3709313,3715510,23890.3589703
354,3709313,3715533,0.0
355,3709313,37051G9,250.116714166
356,3709312,37051G9,601.408364965
357,3709312,37051G10,10981.4525103
358,3709312,37051G5,5012.05714588
359,3709303,3709364,35526.2754646
360,3709303,3709304,2417.94539701
361,3709303,371657,35644.4910641
362,3709361,3709365,6661.19133429
363,3709361,3709364,2326.78546706
364,3709365,3709364,6966.00726663
365,3709304,37125EAB,11829.5515988
366,3709304,37125PBF,10843.4169648
367,3709304,3715310,0.0
368,3709304,371658,9531.08793712
369,3709304,371657,29303.3075013
370,3715932,3715927,3996.59512182
371,3715932,3715911,10929.6789812
372,3715932,3715921,0.0
373,3715932,3715929,13252.5973619
374,3715932,3715912,14796.187236
375,3715932,3705902,4005.94725186
376,3715932,3705904,23388.8626577
377,3715932,3705907,1302.38091866
378,3715925,3715923,11020.332559
379,3715925,3715926,25109.5453296
380,3715925,3715922,9224.55110007
381,3715925,3715901,29846.1247878
382,3715925,3702506-00,2391.9786309
383,3715925,3702507-00,33570.2431927
384,3715927,3705902,45892.3392864
385,3715927,37097CH-A,5913.79192953
386,3715911,3715939,3264.48572241
387,3715911,3715912,17949.8242511
388,3715911,3705907,29478.5926416
389,3715911,3705706,2068.13102472
390,3715910,3715930,8840.65358633
391,3715910,3715936,7297.12040474
392,3715910,3715901,0.0
