GEOID10,g2012_USH_dv,g2012_USH_rv,g2012_USH_tv,STATEFP10,COUNTYFP10,VTDST10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND,AWATER,INTPTLAT10,INTPTLON10,VTD,ID,population,aframcon,hispcon,mincon,percentDem,percentRep,percentOther,DemPercentWhite,DemPercentBlack,DemPercentAsian,DemPercentOther,RepPercentWhite,RepPercentBlack,RepPercentAsian,RepPercentOther,repPop,demPop,hispPop,aframPop,numAdjacent,totalBorder
3716116A,498,1122,1620,37,161,16A,P,16A,Voting District 16A,V1,G5240,S,144618219.0,245673.0,35.4712308,-82.0457927,3716116A16A,2097,3570,0.03081232493,0.0117647058824,0.0425770308124,0.360470375396,0.40434192673,0.235187697874,0.917189460477,0.0677540777917,0.0,0.0150564617315,0.984340044743,0.0,0.00111856823266,0.0145413870246,1443.50067843,1286.87924016,42.0000000002,110.0,8,213353.241649
3716127,942,1424,2366,37,161,27,P,27,Voting District 27,V1,G5240,S,25585230.0,0.0,35.3699518,-81.9773149,371612727,2098,5007,0.108048731776,0.0275614140204,0.135610145796,0.392061679041,0.352941176471,0.254997144489,0.783685360524,0.19737800437,0.000728332119446,0.0182083029862,0.96925566343,0.0121359223301,0.00161812297735,0.0169902912621,1767.17647059,1963.05282696,138.0,541.000000002,5,71233.1293791
3716128,389,615,1004,37,161,28,P,28,Voting District 28,V1,G5240,S,20396354.0,0.0,35.3827375,-81.9401971,371612828,2099,2673,0.138795361018,0.0520014964459,0.190796857464,0.404026845638,0.290604026846,0.305369127517,0.762458471761,0.222591362126,0.0,0.014950166113,0.963048498845,0.0161662817552,0.0,0.0207852193995,776.784563758,1079.96375839,139.0,371.000000001,5,85288.0818248
3716106A,597,923,1520,37,161,06A,P,06A,Voting District 06A,V1,G5240,S,166229160.0,3284172.0,35.4461323,-82.1834155,3716106A06A,2100,2666,0.0798949737434,0.02288072018,0.102775693923,0.319639278557,0.400801603206,0.279559118236,0.805642633229,0.173981191223,0.0,0.0203761755486,0.96875,0.01125,0.00375,0.01625,1068.53707415,852.158316633,60.9999999999,213.0,7,175627.527284
3716113,1461,1169,2630,37,161,13,P,13,Voting District 13,V1,G5240,S,29135945.0,190521.0,35.3447873,-81.888101,371611313,2101,6382,0.271074898151,0.0691005954246,0.340175493576,0.55245302714,0.260960334029,0.186586638831,0.564478034955,0.406235238545,0.00141709966934,0.0278696268304,0.923,0.055,0.001,0.021,1665.44885177,3525.75521921,441.0,1730.0,6,80028.5798946
3716130,1158,994,2152,37,161,30,P,30,Voting District 30,V1,G5240,S,22659623.0,0.0,35.348519,-81.9274143,371613030,2102,5451,0.268207668318,0.0304531278664,0.298660796184,0.49771828415,0.258594463036,0.243687252814,0.574572127139,0.407090464548,0.0018337408313,0.0165036674817,0.942352941176,0.04,0.00352941176471,0.0141176470588,1409.59841801,2713.0623669,166.0,1462.0,5,78170.6169947
3716114,752,821,1573,37,161,14,P,14,Voting District 14,V1,G5240,S,20193589.0,0.0,35.330873,-81.8499202,371611414,2103,4099,0.187362771408,0.0768480117102,0.264210783118,0.515901060071,0.280035335689,0.20406360424,0.695205479452,0.267979452055,0.00342465753425,0.0333904109589,0.96214511041,0.0173501577287,0.00315457413249,0.0173501577287,1147.86484099,2114.67844523,315.0,768.000000001,5,87542.0718224
3716110A,142,600,742,37,161,10A,P,10A,Voting District 10A,V1,G5240,S,221888183.0,45182.0,35.5046938,-81.7572954,3716110A10A,2104,1607,0.00871188550093,0.014312383323,0.0230242688239,0.314814814815,0.450292397661,0.234892787524,0.990712074303,0.0030959752322,0.0,0.0061919504644,0.987012987013,0.0,0.0,0.012987012987,723.619883041,505.907407407,23.0000000001,14.0,8,156984.012124
3716103A,304,1051,1355,37,161,03A,P,03A,Voting District 03A,V1,G5240,S,85565020.0,51626.0,35.4272264,-81.8179667,3716103A03A,2105,2920,0.0359589041096,0.0157534246575,0.0517123287671,0.381306425916,0.39883165162,0.219861922464,0.909470752089,0.0766016713092,0.00139275766017,0.0125348189415,0.986684420772,0.00266311584554,0.0,0.0106524633822,1164.58842273,1113.41476367,45.9999999999,105.0,5,135678.63454
3716119,398,792,1190,37,161,19,P,19,Voting District 19,V1,G5240,S,45627870.0,21887.0,35.2329878,-81.8246877,371611919,2106,3188,0.0912797992472,0.0542659974906,0.145545796738,0.441000543774,0.340402392605,0.218597063622,0.780517879162,0.199753390875,0.0,0.019728729963,0.977635782748,0.00958466453674,0.0,0.0127795527157,1085.20282762,1405.90973355,173.0,291.0,3,91442.5597387
