VTD,lat,long
420032625HARRISON TWP WD 01 DIST 03,-79.73489296281994,40.62409251251264
420032700HARRISON TWP WD 02 DIST 01,-79.73191638955754,40.6116615422053
420032710HARRISON TWP WD 02 DIST 02,-79.72382403293197,40.61155584048261
420032730HARRISON TWP WD 03 DIST 01,-79.70562434620079,40.65037998188303
420032740HARRISON TWP WD 03 DIST 02,-79.71182726072911,40.628394886402745
420032750HARRISON TWP WD 04 DIST 01,-79.71825798120295,40.63268428439978
420033980MILLVALE DIST 04,-79.97931538761361,40.48015633249183
420033990MILLVALE DIST 05,-79.97367022160961,40.49059221939467
420034010MONROEVILLE WD 01 DIST 01,-79.79598711313795,40.40446064578429
420034020MONROEVILLE WD 01 DIST 02,-79.76497102060686,40.40540990016722
420034030MONROEVILLE WD 01 DIST 03,-79.75466721986733,40.39603674855467
420034031MONROEVILLE WD 01 DIST 04,-79.7672247979458,40.420753291886584
420034040MONROEVILLE WD 02 DIST 01,-79.7446037574496,40.405833157071136
420034050MONROEVILLE WD 02 DIST 02,-79.75478153099844,40.40849747273361
420034060MONROEVILLE WD 02 DIST 03,-79.73992224018414,40.417440831239404
420034070MONROEVILLE WD 03 DIST 01,-79.74542978891623,40.449228343808215
420034080MONROEVILLE WD 03 DIST 02,-79.75848902178822,40.44667239387738
420034090MONROEVILLE WD 03 DIST 03,-79.76578885478119,40.45553977295146
420035241O HARA TWP WD 04 DIST 02,-79.91050401279037,40.50080802795896
420035271O HARA TWP WD 05 DIST 01,-79.85987088770821,40.519507452017464
420035281O HARA TWP WD 05 DIST 02,-79.86202662115332,40.51166985929514
420035291OAKDALE DIST 01,-80.18822730546084,40.399311530413485
420035301OAKDALE DIST 02,-80.18422068624484,40.402500122671334
420035310OAKMONT DIST 01,-79.82805306479597,40.5166809476173
420035750PENN HILLS TWP WD 09 DIST 03,-79.8390612714559,40.48550513232991
420035760PENN HILLS TWP WD 09 DIST 04,-79.84494708802282,40.48102385765364
420035770PENN HILLS TWP WD 09 DIST 05,-79.86649435133154,40.4793968116932
420036000PITTSBURGH WD 03 DIST 04,-79.98880514044791,40.44187238519512
420036020PITTSBURGH WD 03 DIST 05,-79.98302673635983,40.44018323726358
420036090PITTSBURGH WD 04 DIST 01,-79.97028836006491,40.43554753822803
420036110PITTSBURGH WD 04 DIST 02,-79.95946751149779,40.431912071343596
420036130PITTSBURGH WD 04 DIST 03,-79.96992012209195,40.440414292965066
420038910PITTSBURGH WD 13 DIST 09,-79.89025997013046,40.4553757365545
420038930PITTSBURGH WD 13 DIST 10,-79.89192545938953,40.45206855486842
420038950PITTSBURGH WD 13 DIST 11,-79.88649356466344,40.45773788668351
420038970PITTSBURGH WD 13 DIST 12,-79.88226075892416,40.45212978580097
420038990PITTSBURGH WD 13 DIST 13,-79.8874363705193,40.45216161564752
420039010PITTSBURGH WD 13 DIST 14,-79.8872788303117,40.449342335396
420039030PITTSBURGH WD 13 DIST 15,-79.88181035671614,40.45735967240479
420039050PITTSBURGH WD 13 DIST 16,-79.87729176185887,40.45631706046686
420039070PITTSBURGH WD 13 DIST 17,-79.87352130110193,40.45678026221054
42003B410PITTSBURGH WD 19 DIST 28,-80.01763552608784,40.43059131481024
42003B430PITTSBURGH WD 19 DIST 29,-80.01761906415331,40.388628909704174
42003B450PITTSBURGH WD 19 DIST 30,-80.01328583760592,40.38637947411868
42003B470PITTSBURGH WD 19 DIST 31,-80.01185966944787,40.39600486951184
42003B480PITTSBURGH WD 19 DIST 32,-80.01961080901576,40.396401191806106
42003B490PITTSBURGH WD 19 DIST 33,-80.01194019229675,40.3991044722862
42003B500PITTSBURGH WD 19 DIST 34,-80.01642322987038,40.4004184869313
42003C860PITTSBURGH WD 27 DIST 01,-80.03043589690613,40.4864341310312
42003C880PITTSBURGH WD 27 DIST 02,-80.03780362054509,40.48794483317109
42003C900PITTSBURGH WD 27 DIST 03,-80.04192399780796,40.48666036991043
