,lo,hi,length
325,420035722,420035750,1971.17800852
326,420035722,42003G220,1963.70833017
327,420035722,42003G230,0.0
328,420035722,420035660,100.363152846
329,420035722,420035690,3166.92446672
330,420035722,420035700,10468.6980696
331,420035730,420035740,746.01706041
332,420035730,420035750,10850.7538702
333,420035730,42003G210,2378.697443
334,420035730,42003631,300.323195414
335,420035740,420035750,4321.26617707
336,420038720,420038810,1177.46113507
337,420038720,420038830,1604.19700637
338,420038720,420035430,464.785150145
339,420038720,420038690,5282.74210654
340,420038720,420038710,584.495786669
341,420038730,420035770,113.791196465
342,420038730,420035440,204.566327358
343,420038730,420038670,6036.95281441
344,420038730,420038690,1742.41095132
345,420038750,420038770,1834.24972641
346,420038750,420038870,145.815061341
347,420038750,420038890,1313.16546992
348,420038750,420039330,0.0
349,420038750,420039350,1598.89367043
350,420038750,420039370,0.0
351,420038750,420038590,707.597719624
352,420038770,420038790,1749.90816663
353,420038770,420038850,53.672864243
354,420038770,420038870,740.963952845
355,420038770,420038590,74.0569579595
356,420038770,420038610,290.268610864
357,420038790,420038810,1892.36830837
358,420038790,420038830,387.713324157
359,420038790,420038850,312.360530892
360,420038790,420038610,246.218502467
361,420038810,420038830,341.641082455
362,420038810,420038570,228.983545206
363,420038810,420038610,189.023222614
364,420038810,420038710,429.605822914
365,420038830,420038850,2412.10751709
366,420038830,420038950,206.574484436
367,420038830,420035430,514.150576639
368,420038850,420038870,1607.72038381
369,420038850,420038910,2766.85560093
370,420038850,420038950,715.820815752
371,420038870,420038890,1605.5289193
372,420038870,420038910,1036.59529661
373,420038890,420038910,73.2444627324
374,420038890,420038930,2834.00838532
375,420038890,420039350,0.0
376,420038890,420039370,4507.50387271
377,42003B250,42003B270,1330.66130513
378,42003B250,42003B290,1032.67138049
379,42003B250,42003B310,2319.55124043
380,42003B250,42003B510,0.0
381,42003B250,42003B210,1176.04669371
382,42003B250,42003B230,2236.56875564
383,42003B270,42003B290,2130.21793167
384,42003B270,420031520,236.61462298
385,42003B270,420031561,286.277283937
386,42003B270,42003B560,1960.98065689
387,42003B270,42003B860,375.427997814
388,42003B270,42003B210,259.8583716
389,42003B290,42003B310,411.895974125
390,42003B290,42003B330,1180.1252557
391,42003B290,420031561,990.289774366
392,42003B310,42003B330,1720.91952925
393,42003B310,42003B480,1498.5056679
394,42003B310,42003B500,1701.0666967
395,42003B310,42003B510,1421.95954628
396,42003B310,42003B540,183.22852444
397,42003B310,42003B230,0.0
398,42003B330,42003B350,994.279342077
399,42003B330,420031541,1006.95002137
400,42003B330,420031561,641.360294138
401,42003B330,42003B540,1457.26175479
402,42003B330,420034640,636.02181484
403,42003B350,42003B370,2793.58688509
404,42003B350,42003B540,1932.20296669
405,42003B350,420034640,1530.03252266
406,42003B370,42003B390,252.891569815
407,42003B370,42003B430,1570.52181856
408,42003B370,42003B470,0.0
409,42003B370,42003B540,782.230000911
410,42003B370,420034640,1207.73918419
411,42003B370,42003140,508.112800996
412,42003B390,42003B430,871.901764385
413,42003B390,42003B450,757.832251978
