VTD,B02001e1,B02008e1,B02009e1,B02010e1,B02011e1,B02012e1,B02013e1,B03002e1,B03003e1,B17017e1,B17021e1,B19301e1,C17002e1,VTD.1,ID
42101419PHILADELPHIA WD 04 PCT 19,593.021838461,21.6692809937,547.710857062,19.3514672285,0.0,0.0,19.9331983806,593.021838461,593.021838461,186.865474958,593.021838461,9934.30572314,593.021838461,42101419PHILADELPHIA WD 04 PCT 19,6510
42101420PHILADELPHIA WD 04 PCT 20,982.055765028,6.97368421053,947.723781222,4.29149797571,0.0,0.0,23.0668016194,982.055765028,982.055765028,341.995729993,980.923907472,12662.5951479,980.923907472,42101420PHILADELPHIA WD 04 PCT 20,6511
42101421PHILADELPHIA WD 04 PCT 21,911.818529131,16.2129894938,895.605539637,0.0,0.0,0.0,0.0,911.818529131,911.818529131,352.146131805,899.496657116,12526.8042025,899.496657116,42101421PHILADELPHIA WD 04 PCT 21,6512
42101501PHILADELPHIA WD 05 PCT 01,1009.55814721,914.928201179,53.0329784195,0.0,38.9674046752,1.82155353394,9.28781383956,1009.55814721,1009.55814721,612.453808885,1009.55814721,49601.6326701,1009.55814721,42101501PHILADELPHIA WD 05 PCT 01,6513
421011905PHILADELPHIA WD 19 PCT 05,531.19010989,194.567032967,76.8318681319,0.0,0.0,0.0,259.791208791,531.19010989,531.19010989,164.165934066,531.19010989,3375.62747253,531.19010989,421011905PHILADELPHIA WD 19 PCT 05,6514
421011906PHILADELPHIA WD 19 PCT 06,503.252336449,264.504672897,75.2897196262,0.0,0.0,0.0,163.457943925,503.252336449,503.252336449,261.53271028,503.252336449,8414.61682243,503.252336449,421011906PHILADELPHIA WD 19 PCT 06,6515
421011907PHILADELPHIA WD 19 PCT 07,850.28005023,218.385055224,247.55545713,28.4745097606,0.0,0.0,388.571230514,850.28005023,850.28005023,296.088100503,845.626473793,7964.97318236,845.626473793,421011907PHILADELPHIA WD 19 PCT 07,6516
421011908PHILADELPHIA WD 19 PCT 08,672.62239011,222.647810783,211.054850618,0.0,0.0,0.0,245.072072459,672.62239011,672.62239011,248.087972184,672.62239011,5841.99752747,672.62239011,421011908PHILADELPHIA WD 19 PCT 08,6517
421011909PHILADELPHIA WD 19 PCT 09,943.685277267,264.019546757,267.022871298,54.7433380084,0.0,0.0,405.381159782,943.685277267,943.685277267,329.402231816,934.338853704,8351.76401838,934.338853704,421011909PHILADELPHIA WD 19 PCT 09,6518
421011910PHILADELPHIA WD 19 PCT 10,731.786688617,210.136446858,265.438405587,0.0,0.0,0.0,271.358974601,731.786688617,731.786688617,373.772851279,731.786688617,13459.0991274,731.786688617,421011910PHILADELPHIA WD 19 PCT 10,6519
421011911PHILADELPHIA WD 19 PCT 11,689.299630086,148.75215783,166.125770654,0.0,0.0,0.0,374.421701603,689.299630086,689.299630086,286.182490752,678.646115906,10672.6892725,678.646115906,421011911PHILADELPHIA WD 19 PCT 11,6520
421011912PHILADELPHIA WD 19 PCT 12,636.735804672,291.889154019,265.142313168,0.041439476554,0.0,0.0,122.146060876,636.735804672,636.735804672,245.49576941,636.735804672,19186.0700751,636.735804672,421011912PHILADELPHIA WD 19 PCT 12,6521
421011913PHILADELPHIA WD 19 PCT 13,688.067449041,163.774796437,418.754956251,0.0,0.0,0.0,119.372817883,688.067449041,688.067449041,240.331529956,688.067449041,5705.9378017,688.067449041,421011913PHILADELPHIA WD 19 PCT 13,6522
421011914PHILADELPHIA WD 19 PCT 14,379.470538538,138.580466688,204.920142653,12.7633587786,0.0,0.0,69.4510246652,379.470538538,379.470538538,126.658776383,379.470538538,2419.67949399,379.470538538,421011914PHILADELPHIA WD 19 PCT 14,6523
421011915PHILADELPHIA WD 19 PCT 15,633.022900763,235.241003272,348.724100327,22.4601962923,0.0,0.0,107.572519084,633.022900763,633.022900763,209.825517993,633.022900763,3959.49618321,633.022900763,421011915PHILADELPHIA WD 19 PCT 15,6524
421011916PHILADELPHIA WD 19 PCT 16,844.919452888,442.349544073,452.69224924,0.0,0.0,0.0,139.228723404,844.919452888,844.919452888,325.397416413,844.919452888,6566.02659574,844.919452888,421011916PHILADELPHIA WD 19 PCT 16,6525
421011917PHILADELPHIA WD 19 PCT 17,510.173629236,82.8171612434,177.005167212,0.0,0.0,0.0,253.681777567,510.173629236,510.173629236,167.617643776,495.081150814,5111.08934787,495.081150814,421011917PHILADELPHIA WD 19 PCT 17,6526
421011918PHILADELPHIA WD 19 PCT 18,501.303107902,120.026578632,286.401375018,0.0,0.0,0.0,104.400475738,501.303107902,501.303107902,177.069731746,501.303107902,4189.51391447,501.303107902,421011918PHILADELPHIA WD 19 PCT 18,6527
421011919PHILADELPHIA WD 19 PCT 19,714.206109433,121.865112538,242.479110082,0.0,0.0,0.0,353.299692886,714.206109433,714.206109433,234.557674773,694.952102035,6686.25631166,694.952102035,421011919PHILADELPHIA WD 19 PCT 19,6528
421012001PHILADELPHIA WD 20 PCT 01,1178.40798675,281.872755073,788.729072811,7.16026020106,11.6231884058,0.0,89.0227102633,1178.40798675,1178.40798675,519.355180985,1178.40798675,8612.46478963,1178.40798675,421012001PHILADELPHIA WD 20 PCT 01,6529
