GEOID,IDNUM
420035351OAKMONT DIST 05,238
420035370OAKMONT DIST 07,239
420035381OHIO TWP DIST 01,240
420035385OHIO TWP DIST 02,241
42003PR1312OHIO TWP DIST 03,242
420036150PITTSBURGH WD 04 DIST 04,243
420036170PITTSBURGH WD 04 DIST 05,244
420036190PITTSBURGH WD 04 DIST 06,245
420036210PITTSBURGH WD 04 DIST 07,246
420036230PITTSBURGH WD 04 DIST 08,247
420036250PITTSBURGH WD 04 DIST 09,248
420036270PITTSBURGH WD 04 DIST 10,249
420036290PITTSBURGH WD 04 DIST 11,250
420036310PITTSBURGH WD 04 DIST 12,251
420036330PITTSBURGH WD 04 DIST 13,252
420036350PITTSBURGH WD 04 DIST 14,253
420039080PITTSBURGH WD 13 DIST 18,254
420039090PITTSBURGH WD 13 DIST 19,255
420039110PITTSBURGH WD 14 DIST 01,256
420039130PITTSBURGH WD 14 DIST 02,257
420039150PITTSBURGH WD 14 DIST 03,258
420039170PITTSBURGH WD 14 DIST 04,259
420039190PITTSBURGH WD 14 DIST 05,260
420039210PITTSBURGH WD 14 DIST 06,261
420039230PITTSBURGH WD 14 DIST 07,262
42003D220PITTSBURGH WD 28 DIST 05,263
42003D240PITTSBURGH WD 28 DIST 06,264
42003D260PITTSBURGH WD 28 DIST 07,265
42003D280PITTSBURGH WD 28 DIST 08,266
42003D300PITTSBURGH WD 28 DIST 09,267
42003C990PITTSBURGH WD 27 DIST 08,268
42003D010PITTSBURGH WD 27 DIST 09,269
42003D030PITTSBURGH WD 27 DIST 10,270
42003D050PITTSBURGH WD 27 DIST 11,271
42003D070PITTSBURGH WD 27 DIST 12,272
42003D090PITTSBURGH WD 27 DIST 13,273
42003E960SCOTT TWP WD 07 DIST 02,274
42003E970SCOTT TWP WD 08 DIST 01,275
42003E980SCOTT TWP WD 08 DIST 02,276
42003E990SCOTT TWP WD 09 DIST 01,277
42003F000SCOTT TWP WD 09 DIST 02,278
42003F060SEWICKLEY HEIGHTS,279
42003F070SEWICKLEY HILLS,280
42003F010SEWICKLEY WD 01,281
42003F020SEWICKLEY WD 02 DIST 01,282
42003F030SEWICKLEY WD 02 DIST 02,283
42003G120UPPER ST. CLAIR TWP WD 03 DIST 01,284
42003G130UPPER ST. CLAIR TWP WD 03 DIST 02,285
42003G140UPPER ST. CLAIR TWP WD 03 DIST 03,286
42003G150UPPER ST. CLAIR TWP WD 04 DIST 01,287
42003G160UPPER ST. CLAIR TWP WD 04 DIST 02,288
42003582BETHEL PARK WD 07 DIST 03,289
42003591BETHEL PARK WD 08 DIST 01,290
42003596BETHEL PARK WD 08 DIST 02,291
42003603BETHEL PARK WD 08 DIST 03,292
42003602BETHEL PARK WD 08 DIST 04,293
420031700DUQUESNE WD 01 DIST 03,294
420031710DUQUESNE WD 01 DIST 04,295
420031730DUQUESNE WD 02 DIST 01,296
420031740DUQUESNE WD 02 DIST 02,297
420031750DUQUESNE WD 02 DIST 03,298
420031770DUQUESNE WD 03 DIST 01,299
420031780DUQUESNE WD 03 DIST 02,300
420031790DUQUESNE WD 03 DIST 03,301
420032821HOMESTEAD WD 01 DIST 01,302
420032830HOMESTEAD WD 01 DIST 02,303
420032851HOMESTEAD WD 02 DIST 01,304
420032870HOMESTEAD WD 02 DIST 02,305
420032881HOMESTEAD WD 03 DIST 01,306
420032900HOMESTEAD WD 03 DIST 02,307
420032910INDIANA TWP DIST 01,308
420032920INDIANA TWP DIST 02,309
420032930INDIANA TWP DIST 03,310
420033975MONROEVILLE WD 05 DIST 04,311
420034170MONROEVILLE WD 06 DIST 01,312
420034180MONROEVILLE WD 06 DIST 02,313
420034190MONROEVILLE WD 06 DIST 03,314
420034191MONROEVILLE WD 06 DIST 04,315
420034200MONROEVILLE WD 07 DIST 01,316
420034210MONROEVILLE WD 07 DIST 02,317
420035390OSBORNE,318
420035400PENN HILLS TWP WD 01 DIST 01,319
420035410PENN HILLS TWP WD 01 DIST 02,320
420035420PENN HILLS TWP WD 01 DIST 03,321
420035430PENN HILLS TWP WD 01 DIST 04,322
420035440PENN HILLS TWP WD 01 DIST 05,323
420036370PITTSBURGH WD 04 DIST 15,324
420036390PITTSBURGH WD 04 DIST 16,325
420036400PITTSBURGH WD 04 DIST 17,326
420036410PITTSBURGH WD 04 DIST 18,327
420036420PITTSBURGH WD 04 DIST 19,328
420036440PITTSBURGH WD 05 DIST 01,329
420036460PITTSBURGH WD 05 DIST 02,330
420036480PITTSBURGH WD 05 DIST 03,331
420036500PITTSBURGH WD 05 DIST 04,332
420036520PITTSBURGH WD 05 DIST 05,333
420039250PITTSBURGH WD 14 DIST 08,334
420039270PITTSBURGH WD 14 DIST 09,335
420039290PITTSBURGH WD 14 DIST 10,336
420039310PITTSBURGH WD 14 DIST 11,337
420039330PITTSBURGH WD 14 DIST 12,338
420039350PITTSBURGH WD 14 DIST 13,339
420039370PITTSBURGH WD 14 DIST 14,340
420039390PITTSBURGH WD 14 DIST 15,341
420039410PITTSBURGH WD 14 DIST 16,342
420039430PITTSBURGH WD 14 DIST 17,343
42003D310PITTSBURGH WD 28 DIST 10,344
42003D320PITTSBURGH WD 28 DIST 11,345
42003D340PITTSBURGH WD 29 DIST 01,346
42003D360PITTSBURGH WD 29 DIST 02,347
42003D380PITTSBURGH WD 29 DIST 03,348
42003D400PITTSBURGH WD 29 DIST 04,349
42003D140PITTSBURGH WD 28 DIST 01,350
42003D160PITTSBURGH WD 28 DIST 02,351
42003D180PITTSBURGH WD 28 DIST 03,352
42003D200PITTSBURGH WD 28 DIST 04,353
42003D600PITTSBURGH WD 30 DIST 02,354
42003D620PITTSBURGH WD 30 DIST 03,355
42003F041SEWICKLEY WD 03,356
42003F080SHALER TWP WD 01 DIST 01,357
42003F090SHALER TWP WD 01 DIST 02,358
42003F100SHALER TWP WD 01 DIST 03,359
42003F101SHALER TWP WD 01 DIST 04,360
42003G170UPPER ST. CLAIR TWP WD 04 DIST 03,361
42003G171UPPER ST. CLAIR TWP WD 04 DIST 04,362
42003G180UPPER ST. CLAIR TWP WD 05 DIST 01,363
42003G190UPPER ST. CLAIR TWP WD 05 DIST 02,364
42003G200UPPER ST. CLAIR TWP WD 05 DIST 03,365
42003G210VERONA DIST 01,366
42003G220VERONA DIST 02,367
42003G230VERONA DIST 03,368
42003623BETHEL PARK WD 09 DIST 01,369
42003625BETHEL PARK WD 09 DIST 02,370
42003624BETHEL PARK WD 09 DIST 03,371
42003631BLAWNOX DIST 01,372
42003650BRACKENRIDGE WD 01,373
42003660BRACKENRIDGE WD 02,374
42003670BRACKENRIDGE WD 03,375
420031811EAST DEER TWP WD 01,376
420031831EAST DEER TWP WD 02,377
420031850EAST MCKEESPORT DIST 01,378
420031860EAST MCKEESPORT DIST 02,379
420031870EAST MCKEESPORT DIST 03,380
420031880EAST PITTSBURGH WD 01,381
420032940INDIANA TWP DIST 04,382
420032950INDIANA TWP DIST 05,383
420032961INGRAM DIST 01,384
420032971INGRAM DIST 02,385
420032981INGRAM DIST 03,386
420033000JEFFERSON HILLS DIST 01,387
420033010JEFFERSON HILLS DIST 02,388
420033021JEFFERSON HILLS DIST 03,389
420034220MONROEVILLE WD 07 DIST 03,390
420034241MOON TWP DIST 01,391
420034245MOON TWP DIST 02,392
420034251MOON TWP DIST 03,393
420034255MOON TWP DIST 04,394
420034261MOON TWP DIST 05,395
420034271MOON TWP DIST 06,396
420034281MOON TWP DIST 07,397
420034291MOON TWP DIST 08,398
