GEOID,IDNUM
292044426,206
292045427,207
292046428,208
292047429,209
292048430,210
292049431,211
292050432,212
292051433,213
292052434,214
292053435,215
292054436,216
292055437,217
292056438,218
292057439,219
292058440,220
292059441,221
292060442,222
292061443,223
292062444,224
292063445,225
292064446,226
292065447,227
292066448,228
292067449,229
292068450,230
292069451,231
292070452,232
292071453,233
292072454,234
292073455,235
292074456,236
292075457,237
292076458,238
292077459,239
292078460,240
292079461,241
292080462,242
292081463,243
292082464,244
292083465,245
292084466,246
292085467,247
292086468,248
292087469,249
292088470,250
292089471,251
292090472,252
292091473,253
292092474,254
292093475,255
292094476,256
292095477,257
292096478,258
292097479,259
292098480,260
292099481,261
292100482,262
292101483,263
294117848,264
294118849,265
294119850,266
294120851,267
294121852,268
294122853,269
294123854,270
294124855,271
294125856,272
294126857,273
294127858,274
294128859,275
294129860,276
294130861,277
294131862,278
294132863,279
294133864,280
294134865,281
294135866,282
294136867,283
294137868,284
294138869,285
294139870,286
294140871,287
294141872,288
294142873,289
294143874,290
294144875,291
294145876,292
294146877,293
294147878,294
294148879,295
294149880,296
294150881,297
294151882,298
294152883,299
294153884,300
294154885,301
294155886,302
294156887,303
294157888,304
294158889,305
294159890,306
294160891,307
294161892,308
294162893,309
294163894,310
294164895,311
294165896,312
294166897,313
294167898,314
294168899,315
294169900,316
294170901,317
294171902,318
294172903,319
294173904,320
294174905,321
294175906,322
294176907,323
294177908,324
294178909,325
294179910,326
294180911,327
294181912,328
294182913,329
294183914,330
294184915,331
294185916,332
294186917,333
294187918,334
294188919,335
294189920,336
294190921,337
294191922,338
294192923,339
294193924,340
294194925,341
294195926,342
294196927,343
294198928,344
294199929,345
294200930,346
294201931,347
294202932,348
294203933,349
294204934,350
294205935,351
294206936,352
294207937,353
294208938,354
294209939,355
294210940,356
294211941,357
294212942,358
294213943,359
294214944,360
294215945,361
294216946,362
294217947,363
294218948,364
294219949,365
294220950,366
310102957,367
310201958,368
310302959,369
310303960,370
310304961,371
310401962,372
291001244,373
291002245,374
291003246,375
291004247,376
291005248,377
291006249,378
291007250,379
291008251,380
291009252,381
291010253,382
291011254,383
291012255,384
291013256,385
291014257,386
291015258,387
291016259,388
291017260,389
291018261,390
291019262,391
291020263,392
291021264,393
291022265,394
291023266,395
291024267,396
291025268,397
291026269,398
291027270,399
291028271,400
291029272,401
291030273,402
291031274,403
291032275,404
291033276,405
291034277,406
291035278,407
291036279,408
291037280,409
291038281,410
291039282,411
291040283,412
291041284,413
291042285,414
291043286,415
291044287,416
291045288,417
291046289,418
291047290,419
291048291,420
291049292,421
291050293,422
291051294,423
291052295,424
291053296,425
291054297,426
291055298,427
291056299,428
291057300,429
291058301,430
291059302,431
291060303,432
291061304,433
291062305,434
291063306,435
291064307,436
291065308,437
291066309,438
291067310,439
291068311,440
291069312,441
291070313,442
291071314,443
291072315,444
291073316,445
291074317,446
291075318,447
291076319,448
291077320,449
291078321,450
291079322,451
291080323,452
291081324,453
291082325,454
291083326,455
291084327,456
291085328,457
291086329,458
291087330,459
291088331,460
291089332,461
291090333,462
291091334,463
291092335,464
291093336,465
291094337,466
291095338,467
291096339,468
291097340,469
291098341,470
291099342,471
291100343,472
291101344,473
291102345,474
291103346,475
291104347,476
291105348,477
291106349,478
291107350,479
291108351,480
291109352,481
291110353,482
291111354,483
291112355,484
291113356,485
291114357,486
291115358,487
291116359,488
291117360,489
5501001234,490
47903458627,491
4300011161,492
4300021162,493
4300031163,494
4300041164,495
4300051165,496
4300061166,497
4300071167,498
4300081168,499
4700011174,500
4700021175,501
4700031176,502
