,low,high
101,46500208454,46500338462
102,46500208454,43504017317
103,46500208454,13700032977
104,46500208454,27100035794
105,46500218455,46500228456
106,46500228456,46500238457
107,46500228456,46500248458
108,46500228456,46500308459
109,46500228456,46500318460
110,46500228456,46500338462
111,46500238457,46500248458
112,46500238457,46500318460
113,46500238457,46500338462
114,46500248458,27100015792
115,46500248458,27100035794
116,46500308459,46500318460
117,46500308459,46500338462
118,46500308459,46500408463
119,46500318460,46500338462
120,46500328461,46500338462
121,46500328461,46500418469
122,46500328461,46500428464
123,46500328461,46500438465
124,46500328461,43501017314
125,46500328461,43504017317
126,46500328461,10500011858
127,46500338462,46500408463
128,46500338462,46500418469
129,46500338462,46500438465
130,46500408463,46500418468
131,46500408463,46500418469
132,46500418469,46500438465
133,46500428464,46500438465
134,46500428464,44300028057
135,46500428464,44300048059
136,46500428464,10500011858
137,46500428464,10500041861
138,47500028560,4750018561
139,47500028560,4750038563
140,47500028560,4750038564
141,47500028560,4750048565
142,47500028560,49504018873
143,47500028560,10300031856
144,47500028560,13501092942
145,4750018561,4750018562
146,4750018561,4750048565
147,4750018561,4750048566
148,4750018561,4750048567
149,4750018561,49502028871
150,4750018561,49504018873
151,4750018562,4750048567
152,4750018562,38900087014
153,4750018562,38900117016
154,4750018562,49502028871
155,4750018562,30100026014
156,4750038563,4750038564
157,4750038563,4750048565
158,4750038563,4750048567
159,4750038564,4750048565
160,4750038564,4750048567
161,4750038564,37100096890
162,4750038564,38900117016
163,4750038564,10300031856
164,4750048565,4750048566
165,4750048565,4750048567
166,4750048566,4750048567
167,4750048567,38900117016
168,47901228589,47901248590
169,47901228589,47901648601
170,47901228589,47902198604
171,47901228589,47902208605
172,47901228589,47902218606
173,47901228589,47904178647
174,47901228589,47904238648
175,47901248590,47901258591
176,47901248590,47901288592
177,47901248590,47901298593
178,47901248590,47901648601
179,47901248590,47904178647
180,47901248590,47904238648
181,47901258591,47901298593
182,47901258591,47901648601
183,47901258591,47902278608
184,47901258591,47902318609
185,47901258591,47902528656
186,47901258591,47902668613
187,47901288592,47901298593
188,47901288592,47901308594
189,47901288592,47901328595
190,47901288592,47901338596
191,47901288592,47904238648
192,47901298593,47901308594
193,47901298593,47902528656
194,47901308594,47901328595
195,47901308594,47901338596
196,47901308594,47902528656
197,47901328595,47901338596
198,47901328595,47901348597
199,47901328595,47901548600
200,47901338596,47901548600
201,47901338596,47902528656
202,47901348597,47901548600
203,47901358598,47901548600
204,47901368599,47901548600
205,47901368599,47902278608
206,47901368599,47902378610
207,47901368599,13100062922
208,47901368599,24700025619
209,47901368599,5050028935
210,47901368599,50500028930
211,47901548600,47902278608
212,47901548600,47902528656
213,47901548600,47902688615
214,47901548600,5050028935
215,47901548600,50500028930
216,47901648601,47902198604
217,47901648601,47902208605
218,47901648601,47902668613
219,47902158602,47902188603
220,47902158602,47902218606
221,47902158602,47904138644
222,47902158602,47904148645
223,47902158602,47904168646
224,47902158602,47904178647
225,47902188603,47902198604
226,47902188603,47902218606
227,47902188603,47903118619
228,47902188603,47903128620
229,47902188603,47903518630
230,47902188603,47904138644
231,47902198604,47902208605
232,47902198604,47902218606
233,47902198604,47902398611
234,47902198604,47903518630
235,47902208605,47902268607
236,47902208605,47902398611
237,47902208605,47902668613
238,47902218606,47904178647
239,47902268607,47902278608
240,47902268607,47902398611
241,47902268607,47902668613
242,47902268607,47902678614
243,47902278608,47902318609
244,47902278608,47902378610
245,47902278608,47902398611
246,47902278608,47902558612
247,47902278608,47902668613
248,47902278608,47902678614
249,47902278608,47902688615
250,47902278608,47903388621
251,47902318609,47902528656
252,47902318609,47902528657
