,lo,hi,length
282,23503005467,10500021859,1070883182.02
283,25930305740,25920205738,4866352364.91
284,25930305740,25930605742,13910450655.2
285,25930305740,25930405741,627883862.033
286,25930305740,25921205746,4982614559.29
287,25930305740,310102957,2944425164.03
288,25930305740,310201958,214389521.926
289,25930305740,17100063607,1088920059.72
290,25930305740,17100073608,0.0
291,25930305740,9102041762,1421915065.99
292,25930305740,9104051774,444108599.695
293,25920205738,25920805739,2870720488.12
294,25920205738,25921205746,5371449956.01
295,25920205738,25921205747,585381185.087
296,25920205738,9102041762,61683391.2271
297,25930605742,25940505743,4746796042.98
298,25930605742,25940705744,1145855412.47
299,25930605742,25941005745,2117834909.17
300,25930605742,25930405741,3813983567.1
301,25930605742,17100063607,0.0
302,25930605742,17100073608,448308593.292
303,25940505743,25940705744,8265852465.12
304,25940505743,25941005745,6475337813.79
305,25940505743,17100073608,2311173910.85
306,25940505743,26503035770,548795139.897
307,25940505743,26503085771,864986692.658
308,25940705744,25941005745,4570597176.66
309,25920805739,25911105737,481642635.299
310,25920805739,25930405741,308542173.894
311,25920805739,25910105736,624975369.274
312,25920805739,25921205746,1909816956.31
313,25920805739,293034578,828150738.775
314,25920805739,293055599,1427015741.36
315,25920805739,9102041762,727216253.399
316,25941005745,25911105737,5680492501.33
317,25941005745,25930405741,2603372551.58
318,25941005745,25910105736,575545228.301
319,25941005745,26503085771,153814713.89
320,25911105737,25910105736,1050642009.9
321,25911105737,293012556,1721738473.12
322,25911105737,293055599,2287619058.15
323,25911105737,26503085771,297562785.347
324,25911105737,190102144,1356897351.46
325,25930405741,25910105736,1647434014.57
326,25930405741,25921205746,3445675297.97
327,16300013485,16300023486,1556666881.26
328,16300013485,16300043493,6899048451.75
329,16300013485,16300043494,5756655969.06
330,16300013485,16300053488,2542599353.03
331,16300013485,16300103492,45777496.1567
332,16300023486,16300033487,654946612.033
333,16300023486,16300043493,162275042.492
334,16300023486,16300083490,9290794878.24
335,16300023486,16300103492,12169162359.6
336,16300033487,16300083490,621928088.549
337,16300043493,16300053488,6872087423.17
338,16300043493,16300063489,5953095260.24
339,16300043493,16300083490,1473467215.51
340,16300043494,16300053488,5699677208.66
341,16300043494,16300093491,7445449951.3
342,16300043494,16300103492,372136632.862
343,16300043494,130018113,417042190.295
344,16300043494,28300045876,2005349050.19
345,16300043494,28300055877,604702049.945
346,16300053488,16300063489,3450296915.1
347,16300053488,130010105,766751183.581
348,16300053488,130018113,3871109056.38
349,16300053488,3250046309,461878146.511
350,16300053488,3250046310,476594207.823
351,16300063489,16300083490,3187418981.69
352,16300063489,3250046309,1462097019.23
353,16300083490,16300103492,200534394.746
354,16300083490,46300028438,0.0
355,16300083490,50700018936,2928728691.97
356,16300083490,3250036305,3454797645.01
357,16300093491,16300103492,1523001938.07
358,16300093491,28300055877,804581486.787
359,16300103492,50700018936,1606119961.21
360,16300103492,12700032906,143388602.472
361,16300103492,28300015873,1588710786.3
362,16300103492,28300055877,68427084.7346
363,20901104941,20901134944,5784841662.52
364,20901104941,20901204945,630725612.895
365,20901104941,20903014961,207871885.624
366,20901104941,20903164963,0.0
367,20901104941,5503011258,1645837969.27
368,20901104941,18702053753,433467284.022
369,20901104941,18702063754,1426726872.51
370,20901104941,9103041768,591702232.986
371,20901114942,20901124943,622311633.824
372,20901114942,20903184965,0.0
373,20901114942,20903304966,428752981.511
374,20901114942,20903344969,41765557.4001
375,20901114942,20904134974,0.0
376,20901114942,20904144975,115745561.318
377,20901124943,20901134944,732276159.095
378,20901124943,20901204945,347790123.47
379,20901124943,20903164963,677912851.215
380,20901124943,20903174964,131226080.69
381,20901124943,20903184965,159059543.035
382,20901124943,20903304966,0.0
383,20901124943,20904144975,685686714.813
384,20901134944,20901204945,1005185508.74
385,20901134944,20903014961,0.0
386,20901134944,20903164963,2050550254.71
387,20901204945,20901274947,1084795403.35
388,20901204945,20904144975,379429948.293
389,20901204945,20904154976,597275055.521
390,20901204945,20904164977,892472748.537
391,20901204945,5503011258,1262926935.43
392,20901204945,5503021259,319651537.556
393,20901254946,20901274947,229172990.663
394,20901254946,20901294948,1538608024.48
395,20901254946,20902284954,1112231305.51
396,20901254946,20902294955,1469197781.02
397,20901274947,20901294948,1389468493.68
398,20901274947,20902294955,2066168363.57
399,20901274947,20904164977,307602040.467
400,20901274947,5503021259,1322350006.77
401,20901274947,5503031260,395976332.68
402,20901294948,20902214949,296773485.972
403,20901294948,20902234950,1343794418.7
404,20901294948,20902284954,255288096.67
405,20901294948,20904164977,334986267.613
406,20901294948,20904184979,316962561.665
407,20902214949,20902234950,1846408562.24
408,20902214949,20902254952,1289625759.28
409,20902214949,20902284954,1072393678.92
410,20902214949,20902324957,556885981.834
411,20902214949,20904194980,160002341.15
412,20902214949,20904204981,0.0
413,20902234950,20904164977,21378531.8744
414,20902234950,20904184979,426148969.238
415,20902234950,20904194980,911741912.952
416,20902244951,20902264953,2734985821.44
417,20902244951,20902284954,1742349581.78
418,20902244951,20902324957,1714564866.64
419,20902244951,45303108256,12798625.6205
420,20902244951,45304068323,18222981.838
421,20902254952,20902324957,2963742186.14
422,20902254952,20904194980,0.0
423,20902254952,20904204981,3108467318.06
424,20902254952,20904214989,377763154.164
425,20902254952,20904494987,163326508.126
426,20902264953,20902304956,681823852.226
427,20902264953,20902324957,247474225.268
428,20902264953,45303028248,2328862.20692
429,20902264953,45303108256,854692696.894
430,20902284954,20902294955,43375126.6549
431,20902284954,20902324957,500835053.124
432,20902284954,20902344958,2501339867.02
433,20902284954,45304038320,108892450.185
434,20902284954,45304068323,330455338.855
435,20902294955,20902344958,1969658207.73
436,20902294955,5503031260,1704054120.58
437,20902304956,20902324957,3348044376.46
438,20902304956,20902364959,35420229.2093
439,20902304956,45303028248,627983344.233
