,B01001e1,B01002e1,B02001e1,B02008e1,B02009e1,B02010e1,B02011e1,B02012e1,B02013e1,B03002e1,B03003e1,B08301e1,B08303e1,B09002e1,B09017e1,B11001e1,B11016e1,B12001e1,B15002e1,B16004e1,B17017e1,B17021e1,VTD
0,1699.78749166,50.6641915871,1699.78749166,811.604363207,0.0,0.945796460177,2.60212514758,0.0,884.635206843,1699.78749166,1699.78749166,487.838850794,485.843285384,641.892371346,141.056905788,439.415592622,439.415592622,1112.40215205,887.134280159,1533.67991436,439.415592622,1699.78749166,21500225048
0,2195.18523436,47.6022441223,2195.18523436,1816.26329843,204.978835949,13.4634178322,3.36931818182,6.06477272727,174.60310873,2195.18523436,2195.18523436,960.496424941,954.459362004,609.976798832,205.918824274,927.390858835,927.390858835,1741.038555,1206.58132059,2013.52781215,927.390858835,2195.18523436,27300325805
0,5545.22546973,116.087682672,5545.22546973,4700.40083507,244.0,3.0,325.004175365,55.0,270.824634656,5545.22546973,5545.22546973,2896.61377871,2852.61377871,1382.34864301,349.041753653,2013.67223382,2013.67223382,4248.34655532,3421.90814196,5049.38413361,2013.67223382,5545.22546973,35500676675
0,3165.17672759,,3165.17672759,3077.96734506,0.0,0.0,13.4504988488,0.0,94.1255954563,3165.17672759,3165.17672759,1715.85949568,1639.37198949,737.435727067,391.982561321,1144.13992276,1144.13992276,2584.92605593,2030.02891526,3021.3080359,1144.13992276,3153.17672759,293063607
0,847.752757794,27.712805006,847.752757794,730.24736211,4.725,0.0,0.0,0.0,112.780395683,847.752757794,847.752757794,260.455260791,255.730260791,255.958865408,76.3510866307,290.258026079,290.258026079,615.904084233,549.985499101,799.900951739,290.258026079,847.752757794,27300215800
0,1163.31291632,26.904037442,1163.31291632,951.56006318,0.0,0.0,0.0,0.0,211.752853139,1163.31291632,1163.31291632,443.696547751,443.640753759,221.869924067,77.8041610834,440.650696858,440.650696858,905.909139754,764.753843564,1076.61621968,440.650696858,1163.1884528,6100571362
0,5530.37034332,59.1065744947,5530.37034332,2378.27295671,0.0,3.09049531459,57.8364123159,0.0,3098.17047898,5530.37034332,5530.37034332,2124.39898123,2100.92386233,1900.50428904,299.417545255,1340.67910107,1340.67910107,3669.73919667,2885.50219556,4982.91218448,1340.67910107,5447.77862797,21500585084
0,5086.09995974,222.618205638,5086.09995974,4808.28900149,29.7660167131,102.0,108.794803671,0.0,163.24506172,5086.09995974,5086.09995974,1835.90237457,1719.13438188,845.856856364,1219.89847024,2301.55015245,2301.55015245,4288.13593627,3898.33385216,4893.26335898,2301.55015245,5032.09995974,7000474
0,87.0474860335,0.370251396648,87.0474860335,66.9832402235,1.61312849162,0.0,0.0,0.0,20.6326815642,87.0474860335,87.0474860335,34.905027933,34.7974860335,33.7374301676,2.96508379888,22.5530726257,22.5530726257,56.9511173184,41.4650837989,73.7122905028,22.5530726257,87.0474860335,47902688615
0,3013.02204333,22.344019579,3013.02204333,2017.28697206,0.0,0.333618477331,0.0,0.0,1032.81470732,3013.02204333,3013.02204333,1070.961241,1034.24088639,855.014482708,128.524884343,599.4437307,599.4437307,1845.71149539,1391.0195153,2334.79444088,599.4437307,2959.78567969,21500035029
0,2679.05533488,66.4492878589,2679.05533488,2575.76208505,10.1139846037,10.4407461595,21.9266625233,15.8587223587,88.9691869275,2679.05533488,2679.05533488,1323.32204652,1229.87056496,521.752746442,222.355345449,944.48318889,944.48318889,2059.6472957,1792.11064833,2506.0104382,944.48318889,2550.64510579,2592120A5746
0,4019.0,60.6,4019.0,2925.0,59.0,0.0,132.0,0.0,1045.0,4019.0,4019.0,1969.0,1929.0,1372.0,130.0,1060.0,1060.0,3104.0,2100.0,3852.0,1060.0,4019.0,14101133140
0,372.235004108,5.99671322925,372.235004108,323.529991783,6.43549712408,9.50698438784,3.80279375514,0.0,42.8545603944,372.235004108,372.235004108,191.894823336,183.411668036,100.335250616,33.2013147083,134.852917009,134.852917009,309.050123254,234.74938373,354.537387017,134.852917009,372.235004108,18701153736
0,259.086351876,3.03395860285,259.086351876,212.891332471,0.0,1.19987063389,8.9990297542,0.0,37.1959896507,259.086351876,259.086351876,142.184670116,138.585058215,68.8211513583,21.0834411384,82.6196636481,82.6196636481,205.177878396,166.353492885,247.344760673,82.6196636481,259.086351876,21502245243
0,4084.50705976,98.6835553093,4084.50705976,3488.62042276,10.0,0.0,0.0,0.0,646.875463821,4084.50705976,4084.50705976,1631.20828716,1598.34975479,1288.62984757,470.643955356,1108.58567841,1108.58567841,2776.7017466,2179.74329502,3606.87649343,1108.58567841,4080.50976979,47904048640
0,5757.12755773,164.592119038,5757.12755773,5246.60845647,98.3480593177,95.0890066309,184.019439363,25.2415196744,363.807891792,5757.12755773,5757.12755773,2362.46258512,2284.740953,1190.26628194,1024.02495807,2289.85532856,2289.85532856,4634.23840318,3781.75460929,5304.1949251,2289.85532856,5721.09906383,7000272
0,6970.51152074,115.734101382,6970.51152074,5572.06912442,0.0,0.0,13.0,0.0,1393.44239631,6970.51152074,6970.51152074,2416.78341014,2362.78341014,1892.64976959,793.917050691,2031.23963134,2031.23963134,5110.42396313,3851.97695853,6244.67281106,2031.23963134,6932.51152074,21500985122
0,65.1250801796,1.73444515715,65.1250801796,47.4053880693,3.79409878127,1.25080179602,0.0,0.0,13.508659397,65.1250801796,65.1250801796,24.4740218089,23.8486209108,14.9679281591,7.50481077614,22.847979474,22.847979474,53.1173829378,46.9884541373,59.8717126363,22.847979474,65.1250801796,294209939
0,4793.04398498,85.2283779399,4793.04398498,3730.93228039,583.405383609,43.829351596,171.883438881,0.0,387.058410566,4793.04398498,4793.04398498,2536.23696964,2452.39138221,905.896821069,239.867221456,2579.09841598,2579.09841598,4033.42296368,2926.533361,4338.03828119,2579.09841598,4793.04398498,292091473
0,34.416939753,0.326090244517,34.416939753,16.0937736325,6.22233425763,0.288379127804,0.0,0.110915049156,12.0010083186,34.416939753,34.416939753,5.47920342828,5.2795563398,4.30350390723,0.343836652382,4.38114444164,4.38114444164,30.5681875473,23.1479707588,33.5961683892,4.38114444164,11.4686160827,291135378
0,5911.76672052,54.2459450727,5911.76672052,5170.73279483,8.0,0.0,63.9466882068,0.0,783.264620355,5911.76672052,5911.76672052,2192.06591276,2052.06591276,1658.67172859,340.126655897,1767.75250404,1767.75250404,4185.97092084,3045.00226171,5405.51308562,1767.75250404,5909.77867528,2150097A5278
0,3781.92587768,179.560256246,3781.92587768,3415.7914407,0.0,35.0345649583,302.560818644,0.0,120.257248831,3781.92587768,3781.92587768,1894.84759774,1792.95200721,806.283884004,476.186817746,1663.30719305,1663.30719305,3274.54972107,2780.2147222,3605.38078314,1663.30719305,3738.03925868,45303478292
