BLOCKID,DISTRICT
330019652001031,03960
330019652001032,03960
330019652001033,03960
330019652001034,03960
330019652001035,03960
330019652001036,03960
330019652001037,03960
330019652001038,03960
330019652001039,03960
330019652001040,03960
330019652001041,03960
330019652001042,03960
330019652001043,03960
330019652001044,03960
330019652001045,03960
330019652001046,03960
330019652001047,03960
330019652001048,03960
330019652001049,03960
330019652001050,03960
330019652001051,03960
330019652001052,03960
330019652001053,03960
330019652001054,03960
330019652001055,03960
330019652001056,03960
330019652001057,03960
330019652001058,03960
330019652001059,03960
330019652001060,03960
330019652001061,03960
330019652001062,03960
330019652001063,03960
330019652001064,03960
330019652001065,03960
330019652001066,03960
330019652001067,03960
330019652001068,03960
330019652001069,03960
330019652001070,03960
330019652001071,03960
330019652001072,03960
330019652001073,03960
330019652001074,03960
330019652001075,03960
330019652001076,03960
330019652001077,03960
330019652002000,03960
330019652002001,03960
330019652002002,03960
330019652002003,03960
330019652002004,03960
330019652002005,03960
330019652002006,03960
330019652002007,03960
330019652002008,03960
330019652002009,03960
330019652002010,03960
330019652002011,03960
330019652002012,03960
330019652002013,03960
330019652002014,03960
330019652002015,03960
330019652002016,03960
330019652002017,03960
330019652002018,03960
330019652002019,03960
330019652002020,03960
330019652002021,03960
330019652002022,03960
330019652002023,03960
330019652002024,03960
330019652002025,03960
330019652002026,03960
330019652002027,03960
330019652002028,03960
330019652002029,03960
330019652002030,03960
330019652002031,03960
330019652002032,03960
330019652002033,03960
330019652002034,03960
330019652002035,03960
330019652002036,03960
330019652002037,03960
330019652002038,03960
330019652002039,03960
330019652002040,03960
330019652002041,03960
330019652002042,03960
330019652002043,03960
330019652002044,03960
330019652002045,03960
330019652002046,03960
330019652002047,03960
330019652002048,03960
330019652002049,03960
330019652002050,03960
330019652002051,03960
330019652002052,03960
330019652002053,03960
330019652002054,03960
330019652002055,03960
330019652002056,03960
330019652002057,03960
330019653001000,03960
330019653001001,03960
330019653001002,03960
330019653001003,03960
330019653001004,03960
330019653001005,03960
330019653001006,03960
330019653001007,03960
330019653001008,03960
330019653001009,03960
330019653001010,03960
330019653001011,03960
330019653001012,03960
330019653001013,03960
330019653001014,03960
330019653001015,03960
330019653001016,03960
330019653001017,03960
330019653001018,03960
330019653001019,03960
330019653001020,03960
330019653001021,03960
330019653001022,03960
330019653001023,03960
330019653001024,03960
330019653001025,03960
330019653001026,03960
330019653001027,03960
330019653001028,03960
330019653001029,03960
330019653001030,03960
330019653001031,03960
330019653001032,03960
330019653001033,03960
330019653001034,03960
330019653001035,03960
330019653001036,03960
330019653001037,03960
330019653001038,03960
330019653001039,03960
330019653001040,03960
330019653001041,03960
330019653001042,03960
330019653001043,03960
330019653001044,03960
330019653001045,03960
330019653001046,03960
330019653001047,03960
330019653001048,03960
330019653001049,03960
330019653001050,03960
330019653001051,03960
330019653001052,03960
330019653001053,03960
330019653001054,03960
330019653001055,03960
330019653001056,03960
330019653001057,03960
330019653001058,03960
330019653001059,03960
330019653001060,03960
330019653001061,03960
330019653001062,03960
330019653001063,03960
330019653001064,03960
330019653001065,03960
330019653001066,03960
330019653001067,03960
330019653001068,03960
330019653001069,03960
330019653001070,03960
330019653001071,03960
330019653001072,03960
330019653001073,03960
330019653001074,03960
330019653001075,03960
330019653001076,03960
330019653001077,03960
330019653001078,03960
330019653001079,03960
330019653001080,03960
330019653001081,03960
330019653001082,03960
330019653001083,03960
330019653001084,03960
330019653001085,03960
330019653001086,03960
330019653001087,03960
330019653001088,03960
330019653001089,03960
330019653001090,03960
330019653001091,03960
330019653001092,03960
330019653001093,03960
330019653001094,03960
330019653001095,03960
330019653001096,03960
330019653001097,03960
330019653001098,03960
330019653001099,03960
330019653001100,03960
330019653001101,03960
330019653001102,03960
330019653001103,03960
