,GEOID10,ALAND10,AWATER10,POP100,POPMALE,POPFEMALE,POP1RACE,POPWHITE,POPBLACK,POPAMERIND,POPASIAN,POPPACIFIC,POPOTHER,POPMULTRAC,POPHISP,PERIM
0,330039563002074,524.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,274.488253736
0,330039563002155,73993.0,0.0,5,3,2,5,5,0,0,0,0,0,0,0,3058.19782577
0,330039563004051,26565.0,0.0,4,2,2,4,4,0,0,0,0,0,0,0,1865.89248236
0,330039563001111,262948.0,0.0,12,6,6,12,12,0,0,0,0,0,0,0,7045.33050225
0,330039563002087,83640.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,4881.40981102
0,330039563001126,15984.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1578.86100562
0,330039563004082,20674.0,0.0,2,1,1,2,2,0,0,0,0,0,0,0,1830.73619543
0,330039563001052,1292.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,505.929464233
0,330039561004019,52748.0,0.0,16,6,10,16,14,0,2,0,0,0,0,2,4224.57776527
0,330039561004003,58023.0,0.0,7,3,4,7,7,0,0,0,0,0,0,0,3310.51245964
0,330039561002035,121488.0,0.0,32,11,21,32,32,0,0,0,0,0,0,0,5260.54858424
0,330039561005025,3182784.0,1348.0,37,19,18,37,37,0,0,0,0,0,0,0,34102.971192
0,330039561005062,4047703.0,33617.0,30,13,17,28,26,2,0,0,0,0,2,2,50374.0094219
0,330039561004012,275687.0,0.0,43,22,21,43,43,0,0,0,0,0,0,0,16356.9462481
0,330039561003035,1375961.0,0.0,253,117,136,251,243,0,0,8,0,0,2,1,19658.2307273
0,330039561004015,3907.0,0.0,1,1,0,1,1,0,0,0,0,0,0,0,1091.08953309
0,330039561005042,2456.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,807.526080834
0,330039558002199,85727.0,0.0,9,4,5,9,8,0,0,1,0,0,0,0,3232.30359474
0,330039558002081,4793.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1005.64308915
0,330039558002083,31255.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2563.4386265
0,330039558002091,42313.0,0.0,6,3,3,6,6,0,0,0,0,0,0,0,2250.88334625
0,330039558002181,6261.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1031.85767759
0,330039558002036,53450.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3216.32827759
0,330039558002230,184273.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6005.52837648
0,330039558002052,2599.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,564.759419989
0,330039558002045,100236.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5112.91327187
0,330039558002082,19733.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2247.80003158
0,330039558002068,28162.0,0.0,6,3,3,6,6,0,0,0,0,0,0,0,1542.76625111
0,330039558002129,0.0,20903.0,0,0,0,0,0,0,0,0,0,0,0,0,2694.00170757
0,330039558002112,0.0,65543.0,0,0,0,0,0,0,0,0,0,0,0,0,5469.99078421
0,330039558002195,49757.0,0.0,2,1,1,1,1,0,0,0,0,0,1,0,5164.47032417
0,330039558002233,7608.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,989.555743396
0,330039558002022,543.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,234.649897286
0,330039558002211,2551.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,842.072263414
0,330039558002156,332671.0,0.0,8,4,4,8,8,0,0,0,0,0,0,0,10790.3635799
0,330039556003076,699524.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16887.6024727
0,330039556003046,1103.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,600.49656251
0,330039556003077,6382205.0,114224.0,0,0,0,0,0,0,0,0,0,0,0,0,34794.6468651
0,330039556003132,0.0,56289.0,0,0,0,0,0,0,0,0,0,0,0,0,6714.09686411
