,lo,hi,length
246,33007CLAR01,33007ATGT01,617235.129283
247,33007CLAR01,33007DIXG01,772044.426657
248,33007STEW01,33007COLE01,4342509.17259
249,33007STEW01,33007DIXV01,828468.551115
250,33007COLE01,33007DIXV01,1167605.72625
251,33007COLE01,33007COLU01,3747293.95576
252,33007DIXV01,33007DIXG01,1174045.57899
253,33007DIXV01,33007WENL01,330583.420038
254,33007DIXV01,33007ERRO01,0.0
255,33007DIXV01,33007MILL01,4805107.87994
256,33007DIXV01,33007ERVI01,495353.508553
257,33007DIXV01,33007COLU01,482162.416638
258,33007ATGT01,33007DIXG01,752392.33375
259,33007ATGT01,33007SECO01,4113489.86884
260,33007DIXG01,33007SECO01,2101740.27224
261,33007DIXG01,33007WENL01,884146.083499
262,33007SECO01,33007WENL01,2696274.66008
263,33007WENL01,33007ERRO01,7221727.6613
264,33007WENL01,33007MILL01,0.0
265,33007ERRO01,33007MILL01,1284332.33023
266,33007ERRO01,33007DUMM01,657486.238667
267,33007ERRO01,33007CAMB01,3037279.0204
268,33007MILL01,33007ERVI01,452574.658973
269,33007MILL01,33007ODEL01,970032.367589
270,33007MILL01,33007DUMM01,2386904.54764
271,33007ERVI01,33007COLU01,373005.13961
272,33007ERVI01,33007ODEL01,1580614.95935
273,33007COLU01,33007STRT01,6626568.61697
274,33007COLU01,33007ODEL01,1759142.28622
275,33007STRT01,33007ODEL01,3819641.75985
276,33007STRT01,33007STAR01,1715029.83463
277,33007STRT01,33007NORU01,1469374.47212
278,33007ODEL01,33007DUMM01,541159.530985
279,33007ODEL01,33007STAR01,1891968.43811
280,33007DUMM01,33007CAMB01,1013515.17218
281,33007DUMM01,33007MILA01,5738641.6695
282,33007DUMM01,33007STAR01,929824.676329
283,33007CAMB01,33007SUCC01,881598.875821
284,33007CAMB01,33007MILA01,4538351.07562
285,33007SUCC01,33007MILA01,2597477.11164
286,33007SUCC01,33007GORH01,113213.401167
287,33007SUCC01,33007SHEL01,2988360.67345
288,33007MILA01,33007STAR01,542089.896019
289,33007MILA01,33007KILK01,759299.594075
290,33007STAR01,33007NORU01,4708818.53668
291,33007STAR01,33007LANC01,185532.612749
292,33007STAR01,33007KILK01,2397049.82847
293,33007NORU01,33007LANC01,5453934.67265
294,33007LANC01,33007KILK01,852294.480725
295,33007LANC01,33007DALT01,841162.355901
296,33007LANC01,33007WHIT01,1880235.31354
297,33007LANC01,33007JEFF01,2389231.22755
298,33007KILK01,33007JEFF01,2504022.70013
299,33007KILK01,33007RAND01,506986.05049
300,33007DALT01,33007WHIT01,2465795.79744
301,33007DALT01,33009LITT01,1958810.57535
302,33007DALT01,33009BETH01,219990.972919
303,33007WHIT01,33007JEFF01,2927233.43703
304,33007WHIT01,33007CARR01,2231209.78044
305,33007WHIT01,33009BETH01,2152663.64013
306,33007JEFF01,33007RAND01,805004.125843
307,33007JEFF01,33007LOWB01,1569486.11116
308,33007JEFF01,33007CARR01,2015499.65765
309,33007RAND01,33007GORH01,2423828.81795
310,33007RAND01,33007THOM01,0.0
311,33007RAND01,33007LOWB01,3004270.0154
312,33007GORH01,33007SHEL01,931761.833253
313,33007GORH01,33007BPUR01,670310.612048
314,33007GORH01,33007MART01,856906.237411
315,33007GORH01,33007THOM01,298830.301313
316,33007GORH01,33007LOWB01,0.0
317,33007SHEL01,33007BPUR01,3034222.92536
318,33007BPUR01,33007MART01,451385.291098
319,33007BPUR01,33007GRGT01,677214.251235
320,33007BPUR01,33007PINK01,766233.729796
321,33007MART01,33007GRGT01,707358.689052
322,33007MART01,33007THOM01,321421.416179
323,33007GRGT01,33007PINK01,401358.707593
324,33007GRGT01,33007THOM01,645306.286311
325,33007PINK01,33007THOM01,60086.9394236
326,33007THOM01,33007LOWB01,2529771.71713
327,33007LOWB01,33007CARR01,1111626.79254
328,33007CARR01,33009BETH01,4517338.44779
329,33009LEBA02,33009LEBA01,5239345.16627
330,33009LEBA02,33009LEBA03,2794423.68235
331,33009LEBA02,33009HANO01,48560.6882634
332,33009LEBA02,33019PLFD01,856323.201816
333,33009LEBA01,33009HANO01,1460316.71022
334,33009LEBA01,33019PLFD01,1350769.36885
335,33009LEBA03,33009ENFI01,3660837.49497
336,33009LEBA03,33009CANA01,0.0
337,33009LEBA03,33009HANO01,2332025.67646
338,33009LEBA03,33019PLFD01,353109.009015
339,33009LITT01,33009BETH01,4656111.51624
340,33009LITT01,33009MONR01,1220908.03743
341,33009LITT01,33009LYMA01,1476268.16782
342,33009LITT01,33009LISB01,1482955.19582
343,33009LITT01,33009SUGA01,0.0
344,33009BETH01,33009LISB01,0.0
345,33009BETH01,33009SUGA01,1044840.38005
346,33009BETH01,33009FRCA01,4484213.57939
347,33009BETH01,33009LINC01,2451091.08302
348,33009BETH01,33009LIVE01,206991.741761
349,33009MONR01,33009LYMA01,2690391.50635
350,33009MONR01,33009BATH01,2324825.94338
351,33009LYMA01,33009LISB01,4433263.6904
352,33009LYMA01,33009BATH01,1751257.9256
353,33009LISB01,33009SUGA01,1900071.39305
354,33009LISB01,33009BATH01,216783.924016
355,33009LISB01,33009LAND01,1896034.92512
356,33009SUGA01,33009FRCA01,1653259.63911
357,33009SUGA01,33009LAND01,649439.630456
358,33009SUGA01,33009EASN01,1323663.04471
359,33009FRCA01,33009EASN01,1289872.43399
360,33009FRCA01,33009LINC01,4806159.14829
361,33009BATH01,33009LAND01,1798945.81409
362,33009BATH01,33009HAVE01,5570357.98487
363,33009BATH01,33009BENT01,1400.7181908
364,33009LAND01,33009EASN01,1927999.77775
